PPD_D1,YR_2017,YR_2018
i,425.9,517.95
i,440.4,525.725
ii,432.45,517.95
i,460.85,517.95
i,450.625,511.35
i,475.5,517.95
i,503.475,568.65
ii,532.35,601.25
i,470.675,517.95
i,480.5,559.375
i,510.1,610.7
i,460.85,511.35
ii,510.1,591.8
i,460.85,517.95
i,436.125,517.95
i,460.45,517.95
iv,478.6,517.95
i,488.425,531.725
i,478.6,552.15
ii,523.85,573.25
i,496.35,578.1
iii,470.675,517.95
iii,436.125,517.95
ii,470.675,531.725
iii,470.675,545.5
i,480.5,566.025
i,488.425,582.525
i,450.625,531.725
i,523.85,582.525
iii,503.475,610.7
ii,470.675,511.35
i,523.85,601.25
i,478.6,558.8
i,460.85,545.5
i,475.5875,552.4375
i,503.475,601.25
v,532.35,601.25
i,510.1,575.3
ii,517.225,591.8
iii,478.6,566.025
i,460.85,517.95
i,460.45,517.95
i,488.425,601.25
i,488.425,618.325
i,460.85,517.95
i,460.45,545.5
i,541.125,610.7
i,470.675,517.95
i,517.225,610.7
ii,468.375,517.95
i,470.675,582.525
i,492.35,582.525
i,510.1,582.525
i,503.475,545.5
i,488.425,552.15
i,558.4,633.625
i,541.125,582.525
i,510.1,559.375
i,450.625,517.95
i,470.675,559.375
i,411.4,487.425
i,523.85,601.25
i,502.175,582.525
i,574.075,647.8
i,549.625,601.25
ii,496.35,573.25
i,488.425,573.25
i,517.225,610.7
ii,488.425,559.375
i,549.425,610.7
i,532.35,610.7
i,488.425,545.6
i,523.85,610.7
i,517.225,626
ii,468.375,545.5
ii,460.85,545.5
i,460.85,616.55
v,488.425,582.525
v,440.4,499.125
iv,450.625,499.125
i,432.45,517.95
i,411.4,487.425
i,510.1,654.3
i,523.85,610.7
i,523.85,610.7
i,417.95,470.1
ii,424.5,487.425
iv,401.075,470.1
i,442.675,517.95
i,436.125,511.35
ii,450.625,511.35
v,450.625,517.95
i,460.85,545.5
i,470.675,539.5
i,495.55,610.7
i,496.35,601.25
i,450.625,511.35
iii,417.95,511.35
ii,460.85,517.95
i,480.5,517.95
i,460.85,517.95
iv,417.95,511.35
i,450.625,517.95
i,460.85,531.725
i,480.5,558.8
i,450.625,525.725
i,460.85,545.5
i,470.675,546.15
i,510.1,566.025
i,480.5,559.375
ii,460.45,517.95
i,460.85,531.725
i,440.4,531.725
i,470.675,538.6125
i,470.675,545.6
i,460.85,575.3
i,450.625,511.35
i,450.625,517.95
i,450.625,517.95
i,440.4,517.95
iii,478.6,517.95
ii,488.425,559.375
i,460.45,517.95
i,485.725,601.25
i,488.425,545.5
i,523.85,618.325
i,510.1,610.7
i,460.85,517.95
i,480.5,610.7
i,470.675,591.975
i,460.85,545.5
i,523.85,610.7
i,445.95,517.95
i,450.625,517.95
i,510.1,610.7
i,488.425,584.75
i,525.725,666.6
i,496.35,568.65
i,442.675,517.95
i,442.675,511.35
i,411.4,494.025
i,436.125,504.75
i,488.425,610.7
i,496.35,610.7
i,480.5,566.025
i,460.85,505.725
i,523.85,610.7
i,452.5,505.725
i,496.35,610.7
i,470.675,568.65
ii,480.5,545.5
iv,432.45,517.95
i,450.625,504.75
i,460.85,504.75
i,460.85,517.95
iv,440.4,517.95
iii,470.675,517.95
i,496.35,666.6
i,436.125,511.35
i,450.625,517.95
i,450.625,559.375
i,450.625,545.5
i,450.625,531.725
i,450.625,601.25
i,432.45,545.6
i,460.85,539.5
i,510.6,582.525
i,488.425,566.025
i,442.675,470.1
i,424.5,517.95
i,442.675,517.95
i,417.95,487.425
iv,440.4,517.95
i,411.4,470.1
iv,401.075,481.8
i,450.625,517.95
i,440.4,517.95
i,425.9,517.95
ii,502.175,582.525
ii,496.35,564.325
i,541.125,601.25
i,440.4,517.95
i,566.7,652.925
i,574.075,679.425
i,541.125,601.25
ii,502.175,610.7
i,460.85,539.5
i,450.625,517.95
i,460.85,517.95
iv,450.625,517.95
i,450.625,525.725
i,442.675,517.95
i,450.625,531.725
i,424.5,511.35
i,460.85,531.725
iv,432.45,504.75
i,460.85,531.725
i,478.6,610.7
i,450.625,517.95
ii,411.4,505.725
i,460.85,525.725
iv,460.85,545.5
i,432.45,504.75
i,460.85,517.95
i,460.45,517.95
iii,496.35,552.15
i,496.35,610.7
iv,440.4,517.95
i,460.45,517.95
i,470.675,573.25
i,470.675,531.725
i,478.6,601.25
v,450.625,539.5
i,460.85,531.725
i,470.675,517.95
iv,442.675,504.75
i,450.625,517.95
v,460.85,517.95
i,460.85,558.8
v,436.125,505.725
iv,460.85,511.35
i,480.5,517.95
i,478.6,591.975
i,523.85,673.25
i,541.125,591.975
ii,480.5,559.375
i,450.625,601.25
i,523.85,610.7
i,460.85,559.375
i,523.85,591.975
i,470.675,566.025
i,532.35,632.5
i,558.4,610.7
ii,460.85,525.725
i,450.625,505.725
i,482.125,591.975
ii,450.625,525.725
i,440.4,610.7
i,517.225,582.525
i,488.425,559.375
i,517.225,610.7
i,450.625,499.125
i,450.625,511.35
i,541.125,573.25
i,558.4,610.7
iii,460.85,525.725
i,460.45,525.725
i,470.675,531.725
i,496.35,601.25
iv,478.6,568.65
i,480.5,559.375
ii,432.45,517.95
i,503.475,601.25
i,551.075,582.525
i,496.35,601.25
i,411.4,470.1
i,450.625,610.7
i,470.675,601.25
i,480.5,545.5
i,566.7,632.5
i,450.625,517.95
i,450.625,531.725
i,509.625,647.8
i,470.675,531.725
i,450.625,517.95
i,425.9,494.025
i,440.4,601.25
i,411.4,487.425
i,510.1,591.975
ii,502.175,568.65
ii,436.125,487.425
i,488.425,558.8
i,523.85,601.25
i,502.175,582.525
i,503.475,610.7
i,541.125,618.325
i,503.475,591.8
i,503.475,591.8
i,480.5,568.65
i,470.675,531.725
ii,478.6,591.8
i,470.675,575.3
i,478.6,578.1
i,523.85,591.975
i,557.925,666.6
ii,460.45,531.725
iii,523.85,601.25
iii,523.85,582.525
iv,478.6,601.25
iii,460.85,517.95
ii,496.35,610.7
iii,470.675,552.15
iii,468.375,538.375
iii,478.6,539.5
iv,496.35,601.25
iv,517.225,610.7
ii,495.55,568.65
iv,480.5,517.95
iv,488.425,559.375
i,523.85,610.7
i,460.85,531.725
i,532.35,610.7
iii,485.725,566.025
i,523.85,545.5
i,460.85,517.95
i,482.125,564.325
i,510.1,584.75
i,460.45,517.95
i,541.125,601.25
i,478.6,623.05
i,510.6,566.025
i,510.1,591.975
i,488.425,610.7
i,450.625,545.5
i,488.425,610.7
i,510.1,575.3
i,460.85,531.725
i,442.675,517.95
i,450.625,517.95
i,488.425,601.25
ii,480.5,517.95
i,496.35,601.25
i,432.45,511.35
i,460.85,517.95
i,480.5,539.5
i,417.95,517.95
i,450.625,517.95
i,450.625,505.725
i,460.45,531.725
i,496.35,591.975
i,470.675,517.95
i,470.675,568.65
i,432.45,545.5
i,549.625,647.8
i,510.1,601.25
i,450.625,629.2
i,488.425,545.5
i,488.425,584.75
i,523.85,573.25
i,496.35,591.8
i,510.6,610.7
i,485.725,618.325
i,450.625,525.725
i,460.85,531.725
i,440.4,531.725
i,442.675,517.95
i,488.425,568.65
i,450.625,531.725
i,450.625,610.7
ii,411.4,444.9
i,450.625,610.7
i,510.1,582.525
i,541.125,626
i,450.625,552.15
ii,460.85,525.725
i,470.675,568.65
iii,460.45,531.725
i,558.4,618.325
i,566.7,660.45
i,558.4,638.65
i,582.375,666.6
i,495.55,601.25
ii,549.425,578.1
i,558.4,673.25
i,460.85,517.95
i,541.125,610.7
iv,510.1,632.5
i,460.45,582.525
i,478.6,582.525
i,496.35,591.8
i,478.6,601.25
i,450.625,517.95
i,517.925,618.325
i,517.225,601.25
i,510.1,573.25
i,480.5,573.25
i,460.85,531.725
i,417.95,511.35
iii,450.625,517.95
i,450.625,517.95
i,470.675,517.95
ii,510.1,610.7
v,450.625,511.35
iv,440.4,494.025
i,541.125,610.7
i,478.6,601.25
i,496.35,610.7
i,470.675,545.5
i,453.875,561.475
i,478.6,601.25
i,523.85,566.025
i,541.125,640.125
i,460.85,626
i,470.675,573.25
i,503.475,582.525
i,488.425,601.25
i,523.85,610.7
i,460.85,517.95
i,450.625,504.75
i,417.95,487.425
iii,450.625,505.725
ii,417.95,511.35
ii,386.7,431.45
i,450.625,493.5
i,417.95,494.025
i,436.125,499.125
i,450.625,517.95
i,440.4,517.95
i,450.625,517.95
i,470.675,517.95
i,450.625,531.725
i,558.4,660.45
iv,440.4,531.725
i,417.95,494.025
ii,510.1,610.7
i,488.425,573.25
i,480.5,568.65
i,562.65,601.25
ii,424.5,481.8
i,450.625,610.7
i,480.5,559.375
i,488.425,610.7
i,450.625,552.15
i,450.625,494.025
i,551.075,601.25
i,460.85,517.95
i,450.625,511.35
i,460.85,531.725
iii,558.4,545.5
i,460.45,517.95
i,496.35,582.525
iii,470.675,531.725
i,566.7,610.7
i,558.4,633.625
i,452.5,481.8
i,450.625,511.35
ii,450.625,517.95
i,480.5,531.725
i,460.85,511.35
i,478.6,573.25
i,492.35,610.7
i,523.85,601.25
i,470.675,517.95
i,470.675,517.95
i,470.675,517.95
i,450.625,511.35
i,440.4,499.125
iii,470.675,545.5
